#node	date	numeric date
NODE_0000001	1958-10-18	1958.797120
NODE_0000288	1978-06-19	1978.463274
NODE_0000289	1987-05-22	1987.388383
KC579480.1/RVA/Human-wt/USA/DC4092/1988/G1P8	1988-01-06	1988.015027
KC579860.1/RVA/Human-wt/USA/DC4085/1988/G1P8	1988-01-06	1988.015027
NODE_0000290	1986-04-02	1986.250778
NODE_0000291	1988-09-12	1988.697950
JF490154.1/RVA/human/Victoria/CK00007/2004/G1P8	2004-01-06	2004.015027
NODE_0000292	2001-09-08	2001.685033
KJ626790.1/RVA/Human-wt/PRY/139SR/2003/G1P8	2003-01-06	2003.015068
JF490836.1/RVA/human/Vanderbilt/VU05-06-76/2005/G1P8	2005-01-06	2005.015068
NODE_0000006	2001-10-17	2001.793183
NODE_0000293	2003-01-06	2003.015068
KJ627083.1/RVA/Human-wt/PRY/610SR/2004/G1P8	2004-01-06	2004.015027
KJ627105.1/RVA/Human-wt/PRY/326IPN/2003/G1P8	2003-01-06	2003.015068
NODE_0000010	2003-01-06	2003.015068
KJ626564.1/RVA/Human-wt/PRY/836SR/2005/G1P8	2005-01-06	2005.015068
NODE_0000296	2008-01-06	2008.015027
JN849120.1/RVA/Human-wt/BEL/BE0253/2008/G1P8	2008-01-06	2008.015027
HQ392250.1/RVA/Human-wt/BEL/BE00030/2008/G1P8	2008-01-06	2008.015027
NODE_0000009	2003-10-17	2003.792935
NODE_0000298	2005-01-06	2005.015068
JF490659.1/RVA/human/Vanderbilt/VU05-06-26/2005/G1P8	2005-01-06	2005.015068
JF490406.1/RVA/human/Victoria/CK00034/2007/G1P8	2007-01-06	2007.015068
NODE_0000011	2004-07-26	2004.567584
HM773774.1/RVA/Human-wt/USA2007719698/2007/G1P8	2007-01-06	2007.015068
NODE_0000014	2005-10-18	2005.794967
JX027741.1/RVA/Human-wt/AUS/CK00072/2007/G1P8	2007-01-06	2007.015068
NODE_0000016	2006-01-02	2006.005272
JN258380.1/RVA/Human-wt/USA/2008747288/2008/G1P8	2008-01-06	2008.015027
NODE_0000017	2006-01-06	2006.015068
JF490869.1/RVA/human/Vanderbilt/VU06-07-31/2006/G1P8	2006-01-06	2006.015068
HQ392051.1/RVA/Human-wt/BEL/BE00010/2006/G1P8	2006-01-06	2006.015068
NODE_0000304	1988-06-05	1988.427441
NODE_0000305	1996-03-18	1996.212326
NODE_0000306	1997-04-17	1997.290736
JF968580.1/RVA/Hu/IALR796/BRA/SP/2004	2004-01-06	2004.015027
NODE_0000307	1999-09-08	1999.686519
JF490462.1/RVA/human/Victoria/CK00040/2006/G1P8	2006-01-06	2006.015068
JN258895.1/RVA/Human-wt/Bel/BE00093/2003/G1P8	2003-01-06	2003.015068
NODE_0000314	1996-11-15	1996.871644
KJ626621.1/RVA/Human-wt/PRY/365/1999/G1P8	1999-01-06	1999.015068
JN258813.1/RVA/Human-wt/Bel/BE00068/2000/G1P8	2000-01-06	2000.015027
NODE_0000316	1999-01-06	1999.015068
JN258786.1/RVA/Human-wt/Bel/BE00052/1999/G1P8	1999-01-06	1999.015068
JN258846.1/RVA/Human-wt/Bel/BE00079/2002/G1P8	2002-01-06	2002.015068
NODE_0000025	1996-04-12	1996.279611
JF968565.1/RVA/Hu/IALR280/BRA/SP/2000	2000-01-06	2000.015027
NODE_0000024	1997-12-30	1997.995477
NODE_0000313	2002-01-06	2002.015068
KJ559047.1/RVA/Human-wt/PRY/86SR/2002/G1P8	2002-01-06	2002.015068
JF968574.1/RVA/Hu/IALR627/BRA/SP/2003	2003-01-06	2003.015068
NODE_0000027	1998-01-02	1998.005274
JF968560.1/RVA/Hu/IALR179/BRA/SP/1998	1998-01-06	1998.015068
NODE_0000028	1998-01-06	1998.015068
JF968559.1/RVA/Hu/IALR152/BRA/SP/1998	1998-01-06	1998.015068
JN232055.1/RVA/R212-2000/2000/G1	2000-01-06	2000.015027
NODE_0000317	1992-08-23	1992.642187
NODE_0000318	1998-04-22	1998.304520
KM977718.1/RVA/Human-wt/RUS/NN15005-07/2007/G1P8	2007-01-06	2007.015068
NODE_0000319	1999-09-18	1999.714469
KJ752031.1/RVA/Human-wt/ETH/MRC-DPRU1843/2009/G1P8	2009-01-06	2009.015068
KJ752963.1/RVA/Human-wt/ZAF/MRC-DPRU4381/2002/G1P8	2002-01-06	2002.015068
NODE_0000321	2000-12-26	2000.984976
KJ751795.1/RVA/Human-wt/ZAF/MRC-DPRU6113/2002/G1P8	2002-01-06	2002.015068
KJ752421.1/RVA/Human-wt/ZAF/MRC-DPRU400/2003/G1P8	2003-01-06	2003.015068
NODE_0000323	2002-07-16	2002.538410
KJ751585.1/RVA/Human-wt/ZAF/MRC-DPRU411/2003/G1P8	2003-01-06	2003.015068
KJ753846.1/RVA/Human-wt/ZAF/MRC-DPRU539/2003/G1P8	2003-01-06	2003.015068
NODE_0000034	2000-04-28	2000.323727
NODE_0000328	2004-01-06	2004.015027
MT854544.1/RVA/Human-wt/ZAF/UFS-NGS-MRC-DPRU1135/2004/G1P8	2004-01-06	2004.015027
KJ753587.1/RVA/Human-wt/ZAF/MRC-DPRU1299/2004/G1P8	2004-01-06	2004.015027
KJ753781.1/RVA/Human-wt/ZAF/MRC-DPRU1280-04/2004/G1P8	2004-01-06	2004.015027
NODE_0000036	2000-07-21	2000.553776
KJ752808.1/RVA/Human-wt/ZAF/MRC-DPRU2218/2003/G1P8	2003-01-06	2003.015068
NODE_0000037	2000-10-14	2000.786036
KJ752974.1/RVA/Human-wt/ZAF/MRC-DPRU4418/2002/G1P8	2002-01-06	2002.015068
KJ753253.1/RVA/Human-wt/ZAF/MRC-DPRU1727/2001/G1P8	2001-01-06	2001.015068
NODE_0000330	1995-06-09	1995.436169
NODE_0000331	2000-08-28	2000.657642
KM977712.1/RVA/Human-wt/RUS/NN13076-04/2004/G1P8	2004-01-06	2004.015027
NODE_0000040	2003-01-24	2003.065429
NODE_0000043	2003-05-01	2003.331310
JN258346.1/RVA/Human-wt/USA/2007719685/2007/G1P8	2007-01-06	2007.015068
NODE_0000333	2005-01-30	2005.081350
HQ738627.2/RVA/Hu/RUS/Omsk08-423/2008/G1P8	2008-01-06	2008.015027
HQ392204.1/RVA/Human-wt/BEL/BE00025/2007/G1P8	2007-01-06	2007.015068
KF006882.1/RVA/Hu/RUS/Omsk08-426/2008/G1P8	2008-01-06	2008.015027
NODE_0000336	2006-05-21	2006.384695
JX841120.1/RVA/Hu/RUS/Nov07-2058/2007/G1P8	2007-01-06	2007.015068
JX841119.1/RVA/Hu/RUS/Nov07-1971/2007/G1P8	2007-01-06	2007.015068
NODE_0000338	2006-09-30	2006.747174
JX027895.1/RVA/Human-wt/AUS/CK00091/2009/G1P8	2009-01-06	2009.015068
NODE_0000339	2008-01-06	2008.015027
JX027828.1/RVA/Human-wt/AUS/CK00084/2008/G1P8	2008-01-06	2008.015027
NODE_0000048	2008-12-28	2008.991179
KT919122.1/RVA/Human-wt/USA/VU12-13-162/2013/G1P8	2013-01-06	2013.015068
NODE_0000049	2009-01-02	2009.005272
NODE_0000340	2010-08-31	2010.665644
MH557045.1/RVA/Human-wt/PAK/NIH-BBH-4482/2015/G1P8	2015-01-06	2015.015068
NODE_0000341	2015-01-06	2015.015068
MT381739.1/RVA/Human-wt/PAK77/2015/G1P8	2015-01-06	2015.015068
NODE_0000052	2016-01-06	2016.015027
MH182444.1/RVA/Human-wt/PAK585/2016/G1P8	2016-01-06	2016.015027
MW058196.1/Human/rotavirus/THA/B4561/2018/G1P6	2018-01-06	2018.015068
NODE_0000054	2009-01-06	2009.015068
GQ452920.3/RVA/Hu-wt/RUS/Novosibirsk/Nov09-D83/2009/G1P8	2009-01-06	2009.015068
NODE_0000055	2013-04-23	2013.306962
MK050142.1/RVA/Human/338/Iran/2017/G1	2017-01-06	2017.015068
NODE_0000056	2017-01-06	2017.015068
MN836887.1/Human/rotavirus/THA/B4378/2017/G1P8	2017-01-06	2017.015068
MW058234.1/Human/rotavirus/THA/B4835/2018/G1P8	2018-01-06	2018.015068
NODE_0000346	1998-09-26	1998.734561
NODE_0000352	2003-09-25	2003.732559
HQ392040.1/RVA/Human-wt/BEL/BE00009/2005/G1P8	2005-01-06	2005.015068
HQ392150.1/RVA/Human-wt/BEL/BE00020/2006/G1P8	2006-01-06	2006.015068
NODE_0000347	2001-01-25	2001.066158
JF490627.1/RVA/human/Vanderbilt/VU05-06-19/2005/G1P8	2005-01-06	2005.015068
NODE_0000348	2006-07-10	2006.521003
KC195774.1/RVA/Human-wt/AUS/CK00081/2007/G1P8	2007-01-06	2007.015068
NODE_0000349	2008-01-06	2008.015027
LC086016.1/RVA/Human-wt/VNM/NT0466/2008/G1P8	2008-01-06	2008.015027
NODE_0000350	2010-03-18	2010.210558
LC172271.1/RVA/Human/JPN/NT036/2013/G1P8	2013-01-06	2013.015068
MF979923.1/RVA/Hu/RUS/Moscow-713/2011	2011-01-06	2011.015068
NODE_0000353	2002-03-04	2002.171750
JN849126.1/RVA/Human-wt/BEL/BE1001a/2008/G1P8	2008-01-06	2008.015027
NODE_0000354	2002-11-09	2002.855062
JF490275.1/RVA/human/Victoria/CK00020/2005/G1P8	2005-01-06	2005.015068
NODE_0000066	2003-10-16	2003.789962
JF490330.1/RVA/human/Victoria/CK00026/2005/G1P8	2005-01-06	2005.015068
NODE_0000065	2004-09-01	2004.669154
NODE_0000382	2005-11-23	2005.894329
NODE_0000071	2006-01-06	2006.015068
JF490444.1/RVA/human/Victoria/CK00037/2006/G1P8	2006-01-06	2006.015068
NODE_0000384	2008-01-06	2008.015027
HQ392261.1/RVA/Human-wt/BEL/BE00031/2008/G1P8	2008-01-06	2008.015027
NODE_0000072	2008-01-06	2008.015027
NODE_0000387	2013-01-06	2013.015068
RVA/Human-wt/KEN/KLF0632/2013/G1P8	2013-01-06	2013.015068
RVA/Human-wt/KEN/KLF0669/2013/G1P8	2013-07-19	2013.546575
NODE_0000076	2008-01-06	2008.015027
KY497502.1/RVA/Human-wt/PAK/3099/2010/G1P8	2010-01-06	2010.015068
MK050127.1/RVA/Human/3/Iran/2015/G1	2015-01-06	2015.015068
NODE_0000388	2008-04-23	2008.309028
NODE_0000389	2010-02-16	2010.128709
MH712904.1/RVA/Human-wt/IND/IDH/8847/2016	2016-01-06	2016.015027
NODE_0000390	2012-07-19	2012.547513
MH712907.1/RVA/Human-wt/IND/IDH/7365/2016	2016-01-06	2016.015027
MK043945.1/RVA/HuB/18/COVASU/Udgir/2017	2017-01-06	2017.015068
NODE_0000391	2009-10-09	2009.771425
JX442769.1/Bovine/rotavirus/RVA/G1/India/HR/2011/B91	2011-01-06	2011.015068
KU945821.1/Rotavirus/G1/RVA/Human/IND/Kerala-RV05/2013/G1P8	2013-01-06	2013.015068
NODE_0000394	2011-07-22	2011.555974
MN067063.1/RVA/Human-wt/IND/CMC/00034/2013/G1P8	2013-01-06	2013.015068
KX009879.1/Rotavirus/G1/RVA/Human/IND/Kerala-RV09/2013/G1P8	2013-01-06	2013.015068
NODE_0000395	2011-02-25	2011.152163
MT737592.1/RVA/Human-wt/MOZ/HGM0033/2014/G1P8	2014-01-06	2014.015068
MT855171.1/RVA/Human-wt/ZAF/UFS-NGS-MRC-DPRU4357/2015/G1P8	2015-01-06	2015.015068
NODE_0000396	2013-01-19	2013.050290
MT737590.1/RVA/Human-wt/MOZ/HCN0666/2015/G1P8	2015-01-06	2015.015068
MT737566.1/RVA/Human-wt/MOZ/HGM1245/2016/G1P8	2016-01-06	2016.015027
NODE_0000081	2004-11-30	2004.913948
NODE_0000380	2007-09-17	2007.711534
JN849150.1/RVA/Human-wt/BEL/BE1280/2009/G1P8	2009-01-06	2009.015068
MT854951.1/RVA/Human-wt/ZAF/UFS-NGS-MRC-DPRU2299/2009/G1P8	2009-01-06	2009.015068
NODE_0000083	2004-11-30	2004.913948
NODE_0000085	2005-10-16	2005.791737
HM773840.1/RVA/Human-wt/USA2007719945/2007/G1P8	2007-01-06	2007.015068
NODE_0000087	2005-12-30	2005.995476
FJ348350.1/RVA/Hu/Ha95/2008/Cuba/G1P8	2008-01-06	2008.015027
NODE_0000090	2006-01-02	2006.005272
HM773851.1/RVA/Human-wt/USA2007719907/2007/G1P8	2007-01-06	2007.015068
NODE_0000092	2006-01-06	2006.015068
FJ348347.1/RVA/Hu/Ha5/2006/Cuba/G1P6	2006-01-06	2006.015068
JF490935.1/RVA/human/Vanderbilt/VU06-07-32/2006/G1P8	2006-01-06	2006.015068
NODE_0000355	2007-02-14	2007.122163
KP007146.1/RVA/Human-wt/PHI/TGP12-005/2012/G1P8	2012-01-06	2012.015027
NODE_0000094	2008-09-11	2008.695236
JN706206.1/RVA/CU720-KK/10/2010/G1	2010-01-06	2010.015068
NODE_0000095	2008-09-11	2008.695236
JN706291.1/RVA/CU1158-KK/11/2011/G1	2011-01-06	2011.015068
KJ752985.1/RVA/Human-wt/ZAF/MRC-DPRU83/2011/G1P8	2011-01-06	2011.015068
NODE_0000359	2007-10-13	2007.780952
